Geo Point;Geo Shape;crossing;@id;highway
50.687077, 3.1437003;"{""type"": ""Point"", ""coordinates"": [3.1437003, 50.687077]}";;node/2561533262;crossing
50.5496029, 3.2602239;"{""type"": ""Point"", ""coordinates"": [3.2602239, 50.5496029]}";;node/2561578981;crossing
50.5496751, 3.2547615;"{""type"": ""Point"", ""coordinates"": [3.2547615, 50.5496751]}";;node/2561578985;crossing
50.6228725, 3.0635336;"{""type"": ""Point"", ""coordinates"": [3.0635336, 50.6228725]}";zebra;node/2562615310;crossing
50.6260059, 3.0574653;"{""type"": ""Point"", ""coordinates"": [3.0574653, 50.6260059]}";zebra;node/2562615350;crossing
50.6265149, 3.0803557;"{""type"": ""Point"", ""coordinates"": [3.0803557, 50.6265149]}";zebra;node/2562615368;crossing
50.6268436, 3.0802029;"{""type"": ""Point"", ""coordinates"": [3.0802029, 50.6268436]}";zebra;node/2562615370;crossing
50.6278359, 3.0797222;"{""type"": ""Point"", ""coordinates"": [3.0797222, 50.6278359]}";zebra;node/2562615411;crossing
50.6280054, 3.079518;"{""type"": ""Point"", ""coordinates"": [3.079518, 50.6280054]}";zebra;node/2562615418;crossing
50.6281567, 3.0814898;"{""type"": ""Point"", ""coordinates"": [3.0814898, 50.6281567]}";;node/2562615426;crossing
50.7678534, 3.1430416;"{""type"": ""Point"", ""coordinates"": [3.1430416, 50.7678534]}";;node/2565253727;crossing
50.7717705, 3.139356;"{""type"": ""Point"", ""coordinates"": [3.139356, 50.7717705]}";;node/2565253785;crossing
50.7414106, 3.2289463;"{""type"": ""Point"", ""coordinates"": [3.2289463, 50.7414106]}";;node/2569538955;crossing
50.7568331, 3.1948586;"{""type"": ""Point"", ""coordinates"": [3.1948586, 50.7568331]}";;node/2569538975;crossing
50.7575944, 3.1972878;"{""type"": ""Point"", ""coordinates"": [3.1972878, 50.7575944]}";;node/2569538983;crossing
50.7815803, 3.125695;"{""type"": ""Point"", ""coordinates"": [3.125695, 50.7815803]}";;node/2569539053;crossing
50.7843084, 3.1399968;"{""type"": ""Point"", ""coordinates"": [3.1399968, 50.7843084]}";;node/2569539098;crossing
50.7843088, 3.1398823;"{""type"": ""Point"", ""coordinates"": [3.1398823, 50.7843088]}";;node/2569539099;crossing
50.7868283, 3.1385287;"{""type"": ""Point"", ""coordinates"": [3.1385287, 50.7868283]}";;node/2569539232;crossing
50.7869384, 3.1601083;"{""type"": ""Point"", ""coordinates"": [3.1601083, 50.7869384]}";;node/2569539236;crossing
50.7871194, 3.1384444;"{""type"": ""Point"", ""coordinates"": [3.1384444, 50.7871194]}";;node/2569539241;crossing
50.787265, 3.1384022;"{""type"": ""Point"", ""coordinates"": [3.1384022, 50.787265]}";;node/2569539249;crossing
50.7873407, 3.1396544;"{""type"": ""Point"", ""coordinates"": [3.1396544, 50.7873407]}";;node/2569539259;crossing
50.7874557, 3.1395803;"{""type"": ""Point"", ""coordinates"": [3.1395803, 50.7874557]}";;node/2569539268;crossing
50.7884027, 3.139256;"{""type"": ""Point"", ""coordinates"": [3.139256, 50.7884027]}";uncontrolled;node/2569539340;crossing
50.7889213, 3.1388515;"{""type"": ""Point"", ""coordinates"": [3.1388515, 50.7889213]}";uncontrolled;node/2569539428;crossing
50.7063907, 3.1309977;"{""type"": ""Point"", ""coordinates"": [3.1309977, 50.7063907]}";;node/2570383788;crossing
50.7067557, 3.1293498;"{""type"": ""Point"", ""coordinates"": [3.1293498, 50.7067557]}";;node/2570383802;crossing
50.7073234, 3.1297609;"{""type"": ""Point"", ""coordinates"": [3.1297609, 50.7073234]}";;node/2570383858;crossing
50.7130709, 3.1863897;"{""type"": ""Point"", ""coordinates"": [3.1863897, 50.7130709]}";;node/2574112435;crossing
50.5690815, 3.1678265;"{""type"": ""Point"", ""coordinates"": [3.1678265, 50.5690815]}";uncontrolled;node/2583527863;crossing
50.5686504, 3.1670678;"{""type"": ""Point"", ""coordinates"": [3.1670678, 50.5686504]}";uncontrolled;node/2583527865;crossing
50.7137214, 3.0862903;"{""type"": ""Point"", ""coordinates"": [3.0862903, 50.7137214]}";;node/2584848550;crossing
